id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
471;2020-08-19;10462;69;9442;224;14,1;29,2;0,5;1,2
468;2020-08-18;10393;75;9376;224;14,9;35,3;0,5;1,2
465;2020-08-17;10318;66;9322;224;14,8;38,2;0,5;1,1
462;2020-08-16;10252;15;9273;224;14,8;40,3;0,5;1,1
459;2020-08-15;10237;42;9239;224;14,5;39,7;0,5;1,2
456;2020-08-14;10195;89;9193;224;15,2;38,8;0,5;1,0
453;2020-08-13;10106;131;9132;224;15,1;32,9;0,6;1,1
450;2020-08-12;9975;125;9088;224;13,0;24,1;0,5;1,1
447;2020-08-11;9850;111;9035;224;11,7;21,7;0,4;1,1
444;2020-08-10;9739;42;8984;224;10,4;23,0;0,4;1,1
441;2020-08-09;9697;10;8936;224;10,3;27,4;0,4;1,1
438;2020-08-08;9687;48;8908;224;10,7;31,2;0,4;1,1
435;2020-08-07;9639;97;8888;224;9,9;31,5;0,4;1,2
432;2020-08-06;9542;53;8857;224;9,0;36,0;0,5;1,2
429;2020-08-05;9489;91;8800;224;9,0;45,7;0,6;1,2
426;2020-08-04;9398;32;8748;223;9,2;55,0;0,7;1,5
423;2020-08-03;9366;39;8705;223;9,1;62,8;0,7;1,4
420;2020-08-02;9327;9;8658;223;9,1;69,6;0,7;1,4
417;2020-08-01;9318;45;8627;223;8,7;71,6;0,7;1,2
414;2020-07-31;9273;82;8590;223;8,3;73,5;0,7;1,1
411;2020-07-30;9191;42;8572;223;8,2;70,0;0,7;1,2
408;2020-07-29;9149;79;8542;223;7,1;56,1;0,7;1,5
405;2020-07-28;9070;51;8514;223;6,3;40,7;0,6;1,5
402;2020-07-27;9019;19;8482;223;6,0;25,9;0,6;1,4
399;2020-07-26;9000;10;8450;223;5,9;10,3;0,6;1,5
396;2020-07-25;8990;34;8429;223;5,9;'-4,4';0,8;1,6
393;2020-07-24;8956;63;8418;223;4,8;'-20,2';0,7;1,6
390;2020-07-23;8893;34;8386;222;4,0;'-28,1';0,7;1,6
387;2020-07-22;8859;23;8356;222;3,9;'-32,8';0,6;1,5
384;2020-07-21;8836;35;8312;222;3,7;'-34,6';0,5;1,5
381;2020-07-20;8801;23;8283;221;3,6;'-34,0';0,5;1,5
378;2020-07-19;8778;5;8250;221;3,6;'-33,6';0,4;1,5
375;2020-07-18;8773;26;8235;221;3,2;'-31,9';0,4;1,5
372;2020-07-17;8747;23;8199;221;3,6;'-27,3';0,4;1,5
369;2020-07-16;8724;26;8169;221;4,0;'-22,8';0,5;1,2
366;2020-07-15;8698;25;8114;221;4,7;'-18,9';0,5;1,3
363;2020-07-14;8673;18;8069;220;5,0;'-16,7';0,6;1,2
360;2020-07-13;8655;18;8036;219;5,2;'-17,0';1,0;1,7
357;2020-07-12;8637;1;7995;217;5,2;'-17,2';0,9;1,8
354;2020-07-11;8636;20;7967;217;5,9;'-17,3';0,8;1,2
351;2020-07-10;8616;31;7938;216;6,1;'-19,1';0,9;1,3
348;2020-07-09;8585;49;7896;216;6,8;'-25,5';1,5;1,5
345;2020-07-08;8536;35;7828;216;6,7;'-33,7';1,4;2,1
342;2020-07-07;8501;40;7778;215;6,7;'-39,0';1,7;2,2
339;2020-07-06;8461;11;7738;215;7,2;'-41,0';1,7;2,4
336;2020-07-05;8450;17;7670;215;7,2;'-40,0';1,7;2,3
333;2020-07-04;8433;41;7646;215;6,9;'-37,6';1,6;2,3
330;2020-07-03;8392;48;7612;214;6,9;'-35,3';1,7;2,4
327;2020-07-02;8344;43;7515;214;7,0;'-29,0';1,6;1,7
324;2020-07-01;8301;59;7433;214;7,3;'-20,1';1,6;2,0
321;2020-06-30;8242;23;7349;214;8,3;'-11,1';1,6;2,7
318;2020-06-29;8219;44;7272;214;8,6;'-2,1';1,4;2,5
315;2020-06-28;8175;8;7217;213;9,1;7,6;1,5;2,4
312;2020-06-27;8167;23;7196;213;9,6;18,3;1,5;2,3
309;2020-06-26;8144;49;7125;213;12,1;33,2;1,6;2,4
306;2020-06-25;8095;75;7081;212;13,9;44,9;1,1;2,6
303;2020-06-24;8020;46;7032;212;14,7;53,2;1,2;2,7
300;2020-06-23;7974;59;6961;211;14,8;59,1;1,0;2,8
297;2020-06-22;7915;83;6920;211;13,9;62,3;1,1;3,1
294;2020-06-21;7832;29;6886;211;13,7;67,4;1,1;3,3
291;2020-06-20;7803;71;6874;211;14,6;66,8;1,2;3,3
288;2020-06-19;7732;130;6850;211;12,1;53,0;1,1;3,3
285;2020-06-18;7602;128;6806;211;10,0;45,7;1,0;3,6
282;2020-06-17;7474;73;6778;210;9,8;45,0;1,2;3,6
279;2020-06-16;7401;33;6725;209;9,3;43,3;1,4;3,6
276;2020-06-15;7368;47;6685;208;9,2;43,0;1,2;3,2
273;2020-06-14;7321;40;6656;208;9,1;36,6;1,1;3,4
270;2020-06-13;7281;30;6627;208;7,7;29,7;1,0;3,3
267;2020-06-12;7251;87;6609;208;7,5;29,0;0,9;3,3
264;2020-06-11;7164;29;6582;208;6,9;25,8;0,9;3,3
261;2020-06-10;7135;54;6559;208;6,3;24,9;1,0;3,3
258;2020-06-09;7081;40;6531;206;5,9;24,6;0,9;3,2
255;2020-06-08;7041;26;6531;206;5,2;22,0;1,2;3,4
252;2020-06-07;7015;19;6470;205;5,7;21,3;1,2;3,5
249;2020-06-06;6996;33;6455;205;5,9;16,1;1,1;3,4
246;2020-06-05;6963;18;6443;201;5,7;7,7;1,3;3,8
243;2020-06-04;6945;45;6412;200;5,5;2,3;1,3;3,6
240;2020-06-03;6900;27;6388;200;5,2;'-6,6';1,0;3,6
237;2020-06-02;6873;35;6358;198;4,6;'-13,9';0,9;3,4
234;2020-06-01;6838;23;6319;198;5,2;'-16,8';;3,3
231;2020-05-31;6815;16;6279;198;4,5;'-19,0';;3,2
228;2020-05-30;6799;33;6259;198;4,1;'-18,4';;3,3
225;2020-05-29;6766;29;6240;197;4,3;'-16,3';;3,4
222;2020-05-28;6737;35;6208;196;3,9;'-13,1';;3,2
219;2020-05-27;6702;30;6175;195;4,0;'-9,5';;3,7
216;2020-05-26;6672;21;6123;193;4,6;'-5,5';;4,4
213;2020-05-25;6651;10;6086;191;4,9;'-4,7';;4,5
210;2020-05-24;6641;5;6060;191;5,0;'-7,6';;
207;2020-05-23;6636;25;6049;191;5,3;'-12,0';;
204;2020-05-22;6611;29;6018;190;4,8;'-16,8';;
201;2020-05-21;6582;30;5987;190;5,7;'-20,1';;
198;2020-05-20;6552;49;5959;186;6,1;'-23,9';;
195;2020-05-19;6503;29;5918;186;5,8;'-27,3';;
192;2020-05-18;6474;20;5880;182;5,4;'-30,0';;
189;2020-05-17;6454;11;5850;180;5,4;'-30,5';;
186;2020-05-16;6443;19;5825;181;5,4;'-29,1';;
183;2020-05-15;6424;31;5787;181;5,1;'-28,1';;
180;2020-05-14;6393;55;5737;177;5,5;'-28,0';;
177;2020-05-13;6338;44;5687;173;5,5;'-28,4';;
174;2020-05-12;6294;25;5641;170;5,9;'-27,8';;
171;2020-05-11;6269;2;5586;165;6,8;'-26,3';;
168;2020-05-10;6267;11;5518;165;7,5;'-24,5';;
165;2020-05-09;6256;20;5477;165;7,8;'-23,1';;
162;2020-05-08;6236;33;5431;164;8,4;'-22,6';;
159;2020-05-07;6203;60;5364;163;8,4;'-23,7';;
156;2020-05-06;6143;57;5296;162;8,6;'-23,6';;
153;2020-05-05;6086;50;5296;162;9,2;'-23,9';;
150;2020-05-04;6036;32;5154;154;9,3;'-23,5';;
147;2020-05-03;6004;34;5091;154;9,1;'-22,6';;
144;2020-05-02;5970;34;5040;154;9,7;'-21,2';;
141;2020-05-01;5936;55;4978;152;11,0;'-19,5';;
138;2020-04-30;5881;60;4897;149;11,8;'-17,2';;
135;2020-04-29;5821;83;4837;147;12,2;'-18,1';;
132;2020-04-28;5738;61;4730;137;12,2;'-20,4';;
129;2020-04-27;5677;33;4652;127;11,9;'-25,0';;
126;2020-04-26;5644;37;4587;125;12,2;'-29,2';;
123;2020-04-25;5607;75;4508;123;13,0;'-31,7';;
120;2020-04-24;5532;56;4412;113;14,2;'-32,9';;
117;2020-04-23;5476;121;;112;14,4;'-36,4';;
114;2020-04-22;5355;14;;105;15,2;'-38,5';;
111;2020-04-21;5341;76;;105;15,2;'-38,8';;
108;2020-04-20;5265;40;;97;15,5;'-37,7';;
105;2020-04-19;5225;38;;94;16,1;'-35,9';;
102;2020-04-18;5187;96;;92;16,3;'-33,4';;
99;2020-04-17;5091;120;;91;15,3;'-31,4';;
96;2020-04-16;4971;101;;84;17,6;'-27,4';;
93;2020-04-15;4870;141;;74;19,3;'-24,0';;
90;2020-04-14;4729;62;;62;22,9;'-21,2';;
87;2020-04-13;4667;84;;56;25,2;'-18,8';;
84;2020-04-12;4583;30;;51;25,8;'-16,6';;
81;2020-04-11;4553;107;;50;26,4;'-13,7';;
78;2020-04-10;4446;89;;46;30,6;'-9,3';;
75;2020-04-09;4357;145;;42;32,3;'-6,1';;
72;2020-04-08;4212;174;;37;32,5;'-2,2';;
69;2020-04-07;4038;176;;32;32,8;3,1;;
66;2020-04-06;3862;175;;28;33,5;9,8;;
63;2020-04-05;3687;61;;26;33,7;17,7;;
60;2020-04-04;3626;140;;24;36,3;26,3;;
57;2020-04-03;3486;263;;22;35,4;34,8;;
54;2020-04-02;3223;230;;20;36,7;46,6;;
51;2020-04-01;2993;216;;;38,3;60,5;;
48;2020-03-31;2777;196;;16;37,9;75,3;;
45;2020-03-30;2581;119;;13;37,6;92,0;;
42;2020-03-29;2462;125;;11;37,1;109,7;;
39;2020-03-28;2337;185;;9;35,2;126,0;;
36;2020-03-27;2152;215;;8;34,1;144,4;;
33;2020-03-26;1937;292;;7;31,2;160,6;;
30;2020-03-25;1645;220;;4;28,5;180,3;;
27;2020-03-24;1425;206;;3;25,7;204,2;;
24;2020-03-23;1219;148;;2;23,0;236,8;;
21;2020-03-22;1071;46;;1;21,9;278,3;;
18;2020-03-21;1025;157;;1;19,2;298,2;;
15;2020-03-20;868;180;;1;16,2;294,2;;
12;2020-03-19;688;169;;;12,6;262,5;;
9;2020-03-18;519;136;;;9,7;246,1;;
6;2020-03-17;383;51;;;8,1;267,7;;
3;2020-03-16;332;332;;;7,0;;;
