id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
2280;2022-04-14;963618;3918;837302;4427;635,1;'-20,5';14,7;7,9
2277;2022-04-13;959700;4589;830579;4422;647,1;'-20,7';14,8;7,6
2274;2022-04-12;955111;5144;821792;4421;698,7;'-21,0';15,8;8,1
2271;2022-04-11;949967;4545;812928;4412;729,8;'-22,1';15,7;8,4
2268;2022-04-10;945422;99;803530;4407;728,7;'-23,4';16,4;8,0
2265;2022-04-09;945323;1;802766;4407;733,0;'-23,2';16,4;8,3
2262;2022-04-08;945322;3890;801254;4407;778,3;'-21,6';15,0;8,7
2259;2022-04-07;941432;4974;793897;4406;797,7;'-19,5';14,6;8,7
2256;2022-04-06;936458;5754;786870;4402;870,0;'-16,7';15,5;8,3
2253;2022-04-05;930704;7273;778371;4396;878,8;'-14,5';16,6;8,6
2250;2022-04-04;923431;5216;777326;4392;914,8;'-11,6';15,4;8,5
2247;2022-04-03;918215;251;771559;4386;919,7;'-9,2';16,9;8,3
2244;2022-04-02;917964;666;771021;4386;937,7;'-6,5';17,0;8,5
2241;2022-04-01;917298;5515;769503;4386;970,5;'-3,9';16,9;8,3
2238;2022-03-31;911783;6557;764130;4384;1035,8;'-2,2';18,4;8,8
2235;2022-03-30;905226;7585;757907;4381;1088,7;'-1,0';18,8;9,6
2232;2022-03-29;897641;7032;751021;4369;1150,3;0,0;18,9;9,6
2229;2022-03-28;890609;7329;744534;4363;1201,3;4,0;19,0;9,9
2226;2022-03-27;883280;252;738113;4355;1198,6;8,6;19,1;9,3
2223;2022-03-26;883028;943;737529;4355;1177,2;12,6;19,2;9,1
2220;2022-03-25;882085;6503;736385;4354;1155,2;16,2;19,6;8,9
2217;2022-03-24;875582;8106;730730;4346;1135,4;20,7;19,2;8,8
2214;2022-03-23;867476;9018;724098;4337;1133,5;25,3;20,9;9,6
2211;2022-03-22;858458;11525;717076;4332;1110,2;30,3;20,3;10,1
2208;2022-03-21;846933;6968;709570;4324;1129,7;31,1;20,7;9,9
2205;2022-03-20;839965;198;701817;4319;1132,8;29,2;20,3;10,1
2202;2022-03-19;839767;450;701147;4319;1156,4;25,8;20,4;10,1
2199;2022-03-18;839317;5748;699082;4319;1203,2;20,2;20,2;10,4
2196;2022-03-17;833569;7953;693001;4315;1197,2;10,7;18,4;10,0
2193;2022-03-16;825616;8962;686532;4310;1175,5;'-0,2';18,6;10,9
2190;2022-03-15;816654;8834;679297;4307;946,1;'-10,8';19,7;11,4
2187;2022-03-14;807820;9372;670122;4305;828,6;'-16,1';18,4;10,4
2184;2022-03-13;798448;268;661092;4297;827,0;'-18,9';18,2;10,2
2181;2022-03-12;798180;1106;660299;4297;829,7;'-20,4';18,1;10,6
2178;2022-03-11;797074;7246;658484;4296;776,9;'-21,3';17,7;10,4
2175;2022-03-10;789828;7635;651078;4294;763,7;'-20,7';18,1;11,4
2172;2022-03-09;782193;6946;641924;4288;722,3;'-18,6';15,0;11,0
2169;2022-03-08;775247;625;630638;4281;893,9;'-14,5';15,0;10,6
2166;2022-03-07;774622;5575;618837;4279;929,2;'-13,1';18,1;11,1
2163;2022-03-06;769047;301;608060;4277;932,2;'-12,0';16,2;11,4
2160;2022-03-05;768746;899;607137;4277;925,8;'-10,5';16,2;11,6
2157;2022-03-04;767847;6107;604358;4276;953,8;'-8,0';16,1;11,3
2154;2022-03-03;761740;7005;595857;4273;992,1;'-5,7';16,7;11,1
2151;2022-03-02;754735;7125;583921;4263;1036,5;'-4,3';15,8;11,4
2148;2022-03-01;747610;5784;570837;4253;1087,2;'-4,9';14,4;12,5
2145;2022-02-28;741826;6389;556481;4245;1142,5;'-6,8';16,2;12,7
2142;2022-02-27;735437;270;544499;4243;1141,8;'-9,5';17,3;13,0
2139;2022-02-26;735167;1015;543221;4243;1163,7;'-11,5';17,6;13,0
2136;2022-02-25;734152;7083;540287;4243;1179,3;'-13,5';17,5;12,9
2133;2022-02-24;727069;9396;530048;4242;1154,0;'-15,4';18,5;12,4
2130;2022-02-23;717673;7395;517626;4227;1123,7;'-17,5';20,9;13,4
2127;2022-02-22;710278;9836;503574;4222;1159,5;'-19,0';21,7;14,4
2124;2022-02-21;700442;8244;488288;4217;1171,0;'-20,7';20,6;14,1
2121;2022-02-20;692198;232;473794;4213;1172,7;'-21,9';22,3;14,6
2118;2022-02-19;691966;2238;472204;4213;1153,4;'-22,0';22,8;14,8
2115;2022-02-18;689728;11424;469196;4212;1160,0;'-21,2';23,1;15,3
2112;2022-02-17;678304;6686;456776;4205;1208,9;'-20,2';23,8;15,0
2109;2022-02-16;671618;8230;443841;4175;1311,5;'-18,8';24,8;15,3
2106;2022-02-15;663388;11531;431066;4173;1370,2;'-17,6';26,1;15,8
2103;2022-02-14;651857;5630;420512;4168;1414,7;'-16,4';26,4;15,9
2100;2022-02-13;646227;216;412095;4167;1420,8;'-15,4';25,9;15,4
2097;2022-02-12;646011;1077;410361;4167;1451,2;'-13,9';25,9;15,2
2094;2022-02-11;644934;5406;407701;4167;1486,0;'-11,9';26,3;15,5
2091;2022-02-10;639528;10164;400719;4164;1591,7;'-9,9';26,6;15,9
2088;2022-02-09;629364;11467;393616;4159;1656,9;'-8,4';25,5;15,9
2085;2022-02-08;617897;12302;386119;4147;1737,4;'-6,7';25,4;16,6
2082;2022-02-07;605595;9578;378807;4140;1783,1;'-4,1';25,2;17,5
2079;2022-02-06;596017;743;372251;4135;1794,2;'-0,3';23,3;17,5
2076;2022-02-05;595274;1409;371115;4135;1821,1;3,3;22,8;17,2
2073;2022-02-04;593865;9845;369156;4135;1883,1;6,8;23,0;17,1
2070;2022-02-03;584020;13317;363672;4133;1890,6;11,2;23,5;17,6
2067;2022-02-02;570703;17566;358061;4129;1904,8;17,1;23,3;17,7
2064;2022-02-01;553137;12669;353057;4128;1910,7;24,1;22,1;16,7
2061;2022-01-31;540468;12220;348811;4124;1961,0;31,8;20,2;17,1
2058;2022-01-30;528248;284;344919;4107;1966,9;38,7;19,9;16,2
2055;2022-01-29;527964;3427;343670;4107;1960,3;44,9;19,6;16,2
2052;2022-01-28;524537;12762;342518;4107;1993,6;49,8;19,5;16,5
2049;2022-01-27;511775;11736;340632;4098;1998,3;52,0;19,1;16,3
2046;2022-01-26;500039;14730;338042;4097;1959,7;51,0;17,9;18,7
